"subject" "activity" "Body Accelerometer [Time] - Jerk-mean-X" "Body Accelerometer [Time] - Jerk-mean-Y" "Body Accelerometer [Time] - Jerk-mean-Z" "Body Accelerometer [Time] - Jerk-std-X" "Body Accelerometer [Time] - Jerk-std-Y" "Body Accelerometer [Time] - Jerk-std-Z" "Body Gyroscope [Time] - Jerk-mean-X" "Body Gyroscope [Time] - Jerk-mean-Y" "Body Gyroscope [Time] - Jerk-mean-Z" "Body Gyroscope [Time] - Jerk-std-X" "Body Gyroscope [Time] - Jerk-std-Y" "Body Gyroscope [Time] - Jerk-std-Z" "Body Accelerometer [Time] - Mag-mean" "Body Accelerometer [Time] - Mag-std" "Gravity Accelerometer [Time] - Mag-mean" "Gravity Accelerometer [Time] - Mag-std" "Body Accelerometer [Time] - JerkMag-mean" "Body Accelerometer [Time] - JerkMag-std" "Body Gyroscope [Time] - Mag-mean" "Body Gyroscope [Time] - Mag-std" "Body Gyroscope [Time] - JerkMag-mean" "Body Gyroscope [Time] - JerkMag-std" "Body Accelerometer [Frequency] - Jerk-mean-X" "Body Accelerometer [Frequency] - Jerk-mean-Y" "Body Accelerometer [Frequency] - Jerk-mean-Z" "Body Accelerometer [Frequency] - Jerk-std-X" "Body Accelerometer [Frequency] - Jerk-std-Y" "Body Accelerometer [Frequency] - Jerk-std-Z" "Body Accelerometer [Frequency] - Jerk-meanFreq-X" "Body Accelerometer [Frequency] - Jerk-meanFreq-Y" "Body Accelerometer [Frequency] - Jerk-meanFreq-Z" "Body Accelerometer [Frequency] - Mag-mean" "Body Accelerometer [Frequency] - Mag-std" "Body Accelerometer [Frequency] - Mag-meanFreq" "Body Accelerometer [Frequency] - JerkMag-mean" "Body Accelerometer [Frequency] - JerkMag-std" "Body Accelerometer [Frequency] - JerkMag-meanFreq" "Body Gyroscope [Frequency] - Mag-mean" "Body Gyroscope [Frequency] - Mag-std" "Body Gyroscope [Frequency] - Mag-meanFreq" "Body Gyroscope [Frequency] - JerkMag-mean" "Body Gyroscope [Frequency] - JerkMag-std" "Body Gyroscope [Frequency] - JerkMag-meanFreq"
1 "LAYING" 0.0810865342 0.0038382040088 0.010834236361 -0.958482112 -0.9241492736 -0.9548551108 -0.107270949192 -0.04151728689 -0.0740501211 -0.9186085208 -0.9679072436 -0.9577901596 -0.8419291525 -0.79514486386 -0.8419291525 -0.79514486386 -0.9543962646 -0.9282456284 -0.874759548 -0.81901016976 -0.96346103 -0.9358409828 -0.9570738838 -0.9224626098 -0.9480609042 -0.9641607086 -0.9322178704 -0.9605869872 0.132419092398 0.024513618956 0.02438794528 -0.8617676481 -0.7983009404 0.08640856294 -0.9333003608 -0.9218039756 0.26639115416 -0.8621901854 -0.82431943968 -0.1397750127 -0.9423669466 -0.9326606676 0.17648590708
2 "LAYING" 0.0825972511666667 0.012254788451875 -0.00180264895625 -0.98587216875 -0.98317254125 -0.988442014375 -0.101974134208333 -0.0358590176083333 -0.0701783020833333 -0.993235849166667 -0.989567537916667 -0.98803582125 -0.977435485208333 -0.972873912916667 -0.977435485208333 -0.972873912916667 -0.987741696041667 -0.98551807625 -0.950011569583333 -0.961164053958333 -0.991767074166667 -0.989718095208333 -0.985813630833333 -0.982768250416667 -0.986197134583333 -0.987250255833333 -0.984987392916667 -0.989345368541667 0.159808328563875 0.1212064240125 0.190558218145833 -0.975110196458333 -0.975121387916667 0.2662982125 -0.985374114791667 -0.984568489166667 0.3417585745 -0.972112972708333 -0.96109837875 0.01856447223125 -0.990248702291667 -0.989492660416667 0.264801505395833
3 "LAYING" 0.0769811125806452 0.0138041011306452 -0.00435625874355645 -0.98087931483871 -0.968710724677419 -0.982093162903226 -0.10004449883871 -0.0389771765322581 -0.06873387 -0.980328645 -0.986762741935484 -0.983338279516129 -0.972791346129032 -0.964218176451613 -0.972791346129032 -0.964218176451613 -0.979484593387097 -0.976121297903226 -0.951564751451613 -0.954275110967742 -0.98671362516129 -0.983139255645161 -0.980513202258064 -0.968752113709677 -0.979122344354839 -0.983122615967742 -0.971044012741936 -0.983711904677419 0.17597855438871 -0.0131774961758065 0.0448196905903226 -0.96552427516129 -0.968350217419355 0.236990127870968 -0.975949597903226 -0.975305377903226 0.238611133937097 -0.96458672483871 -0.955441855806452 -0.0229296114693548 -0.984278251290323 -0.982568158064516 0.110697704185484
4 "LAYING" 0.0934494217777778 0.00693313213968519 -0.00641054328740741 -0.978302781111111 -0.942209488333333 -0.978511984259259 -0.105019877685185 -0.0381230432222222 -0.0712156288333333 -0.975103204259259 -0.986855629814815 -0.983965359814815 -0.954557603148148 -0.931292216611111 -0.954557603148148 -0.931292216611111 -0.970095771666667 -0.960786430740741 -0.930236462592593 -0.947031781666667 -0.985068502037037 -0.982698213703704 -0.978542457407407 -0.943969987222222 -0.975383329444444 -0.980079292592593 -0.944366881666667 -0.980261236296296 0.182436483157407 0.0987428836296296 0.0770211165 -0.939389701296296 -0.937187975962963 0.241697899814815 -0.96228712537037 -0.958037119259259 0.274027349574074 -0.961556660185185 -0.947100325185185 -0.259851969798148 -0.983609073333333 -0.982543631666667 0.202949381537037
5 "LAYING" 0.0848164824230769 0.00747460829615385 -0.00304067159653846 -0.983307862115385 -0.964560430961538 -0.985419368461538 -0.102114125 -0.0404446925288462 -0.07083096875 -0.983422257692308 -0.983759479230769 -0.989679592307692 -0.966777882884615 -0.958612786346154 -0.966777882884615 -0.958612786346154 -0.980141253846154 -0.977477145384615 -0.946938300576923 -0.958287921923077 -0.9864194225 -0.98377138 -0.982689657115385 -0.965328566153846 -0.983250309423077 -0.985625270384615 -0.96624258 -0.986135599038461 0.239915157321154 0.195677336307692 0.0916938788480769 -0.962234984038462 -0.962525369423077 0.292032094967308 -0.977356379807692 -0.976381934807692 0.197005001461538 -0.968257068846154 -0.959263063269231 0.102441765923077 -0.984618025769231 -0.983434493076923 0.0247367106615385
6 "LAYING" 0.0963481955263158 -0.00114529240245614 0.00328817288070175 -0.966341054736842 -0.933674494385965 -0.959646055263158 -0.111267284631579 -0.0424104289992982 -0.0717774743859649 -0.939611608245614 -0.958628819649123 -0.959579071578947 -0.918878850824561 -0.897326245964912 -0.918878850824561 -0.897326245964912 -0.954750504912281 -0.950341934385965 -0.908980174736842 -0.920914497017544 -0.955645738245614 -0.953157001578947 -0.967072436842105 -0.936043420175439 -0.954425844736842 -0.968619159473684 -0.935717452807018 -0.963567540877193 0.0114731894070175 -0.0222029460298246 0.0784684032122807 -0.91235165222807 -0.905373979824561 0.1446050868 -0.948655471052632 -0.951552664035088 0.182525077889474 -0.930153639473684 -0.928694890175439 0.119317522942105 -0.953695957368421 -0.955504654561404 0.16376531874386
7 "LAYING" 0.0968904018076923 0.0250624183634615 -0.0131653918205769 -0.980977756153846 -0.973093160192308 -0.972983064230769 -0.105944243484615 -0.0358897425826923 -0.0671901794615385 -0.9738372325 -0.976483727307692 -0.988871878269231 -0.936392023846154 -0.907039513153846 -0.936392023846154 -0.907039513153846 -0.980127239615385 -0.967310932307692 -0.915793634807692 -0.918662459038462 -0.983008829038462 -0.971205137884615 -0.980393046923077 -0.972531648846154 -0.969524977692308 -0.983560175384615 -0.975886145 -0.975072995192308 0.0207159202961538 -0.0451342616019231 0.0945605852 -0.927976880634615 -0.910542462919231 -0.129091025169231 -0.968066259230769 -0.965359228076923 0.217605286703846 -0.941130719230769 -0.918892518653846 -0.265784491092308 -0.974117912115385 -0.969403035384615 0.104422952923077
8 "LAYING" 0.0878326902592593 0.0233299159137037 -0.0169218791344444 -0.973253042222222 -0.976520952037037 -0.96608757462963 -0.106445008314815 -0.0389735198722222 -0.0694123150925926 -0.969924077407407 -0.974186451851852 -0.987601203703704 -0.935308633888889 -0.91325033 -0.935308633888889 -0.91325033 -0.97314748962963 -0.962954517222222 -0.924253348518518 -0.932470764444444 -0.978438191296296 -0.969029111666667 -0.973110596111111 -0.975877437407407 -0.962111136666667 -0.975959911481481 -0.979170881666667 -0.968699222962963 0.164984298959259 0.00667286421111111 0.120248739635185 -0.932279645518518 -0.917257979425926 0.0484988463518519 -0.961792852407407 -0.963791094259259 0.350822601333333 -0.944528950555556 -0.93678697 -0.0620563752462963 -0.968403945925926 -0.971793279814815 0.219371246142593
9 "LAYING" 0.08807344764 0.011561732718 -0.0070536778584 -0.9647404702 -0.9639966798 -0.958562455 -0.10384667982 -0.027552256948 -0.0569490475 -0.945329035 -0.9621702422 -0.9770761602 -0.9308684376 -0.91512680016 -0.9308684376 -0.91512680016 -0.9633745492 -0.9550268052 -0.9071250998 -0.8985578738 -0.964524819 -0.9528015598 -0.964304065 -0.9640828062 -0.955909215 -0.9686013042 -0.966634136 -0.9597147176 -0.08503093738 -0.227093669698 -0.094374360132 -0.9266042952 -0.921929738394 -0.085609052452 -0.9543205856 -0.9550947122 0.1670029826292 -0.9186053356 -0.9034005814 -0.20634356866 -0.9558062546 -0.9522904702 -0.016201378678
10 "LAYING" 0.073815064487931 0.015698997097069 0.00716689586275862 -0.978007466724138 -0.966930793448276 -0.976256662586207 -0.100308254413793 -0.0388797920413793 -0.0590744912758621 -0.965900578103448 -0.966621040344828 -0.983949302758621 -0.956781819655172 -0.940301654482759 -0.956781819655172 -0.940301654482759 -0.976234435172414 -0.967556980689655 -0.937590998793103 -0.927471165517241 -0.970830848965517 -0.959632931551724 -0.979014668793104 -0.968039173793103 -0.972592212931034 -0.978904364137931 -0.968120692241379 -0.978582339137931 0.0485572099491379 0.0425942300482759 0.146112721943103 -0.950848109137931 -0.944304974655172 0.260388946262069 -0.968561121551724 -0.965377553448276 0.212826187810345 -0.937692642586207 -0.933701315344828 0.216535434472414 -0.960976821551724 -0.960772875517241 0.202624700274138
